decade,songs,avg_words,median_words,avg_unique_words,avg_lexical_diversity,avg_lines,avg_line_length,avg_repetition_ratio
1980s,200,118.635,110.0,75.84,0.6589621666577198,28.465,4.2596006519406995,0.34103783334228027
2000s,200,129.05,110.0,83.335,0.663220469244026,28.985,4.514475710180078,0.336779530755974
2020s,197,181.32994923857868,162.0,96.87817258883248,0.5508476961274837,40.223350253807105,4.69125712931355,0.43900001960855684
