decade,songs,avg_words,median_words,avg_unique_words,avg_lexical_diversity,avg_lines,avg_line_length,avg_repetition_ratio,first_person_ratio,second_person_ratio,third_person_ratio,NOUN_ratio,VERB_ratio,ADJ_ratio,ADV_ratio,PRON_ratio,PROPN_ratio
1980s,200,118.635,110.0,75.84,0.6589621666577198,28.465,4.2596006519406995,0.34103783334228027,0.037629596255736794,0.03159666462123201,0.033506994217854615,0.2177802545902505,0.14996773625857923,0.04317475215580454,0.08048336950783129,0.12093036897987916,0.023171232474922275
2000s,200,129.05,110.0,83.335,0.663220469244026,28.985,4.514475710180078,0.336779530755974,0.04739114845211576,0.03961613098466872,0.022111381763842267,0.18985940440606663,0.16644525628251966,0.041846562603786115,0.09163622273884645,0.13021698217646407,0.021310749474150337
2020s,197,181.32994923857868,162.0,96.87817258883248,0.5508476961274837,40.223350253807105,4.69125712931355,0.43900001960855684,0.06102186875089544,0.05448253445759645,0.01728760947403166,0.16989138158562583,0.16514059486346563,0.03319459953304233,0.09812201806923156,0.14690894325449194,0.028098670185767942
