song_name,artist_name,decade,lyrics
שירי לי כנרת,מילי מירן,1980s,"שם הרי גולן באופק, ניצבים עוד בדממה
ונערים בהולם דופק, עוד שומרים על הרמה
ובישבם עם ערב סביב למדורה
עונים הם לך כנרת בשירה:
שירי לי כנרת שיר מזמור ישן
שירי לי כנרת שיר לי הגולן
הדוגית עודנה שטה, מפרשה מלבין בחוף
וחורשת האקליפטוס עוד שומרת על הנוף
עת נפרשת רשת עם שוך הסערה
עונים הם לך כנרת בשירה:
שירי לי כנרת...
הירדן נוגן סימפוניה עם אלפי הציפרים
וביחד בהרמוניה מנגנים ומזמרים
וילדים בטבריה בשעת שעור זמרה
עונים הם לך כנרת בשירה:
שירי לי כנרת..."
האיש מן החלום,ירדנה ארזי,1980s,"הוא אשר חלמתי
הוא אמת וקיים
מול חלוני עובר יום יום
לעצמי אני לוחשת
תני לו יד מה את חוששת
הוא שלך האיש מן החלום.
הוא אשר חלמתי
מוחשי, אנושי
ומבטו כמו מאוהב
את עיני אני עוצמת
בהקיץ אני חולמת
איך נרקום את המחר יחדיו
את עיני אני עוצמת
בהקיץ אני חולמת
איך נרקום את המחר יחדיו .
לו הרגיש האיש בלהבה
שעלתה בתוך תוכי כאש פתאום
לו היה אלי פוסע
את ליבי היה שומע
ויוצא אלי מן החלום
לו היה אלי פוסע
את ליבי היה שומע
ויוצא אלי מן החלום.
הוא אשר חלמתי
נעלם לאי שם
בלי מענה ובלי דבר
לו פגעו אז מבטינו
זה בזו היינו שנינו
הישוב אלי האיש הזר
לו פגעו אז מבטינו
זה בזו היינו שנינו
הישוב אלי האיש הזר.
לו הרגיש האיש בלהבה..."
קח כל מה שאלוהים נותן,דורית ראובני,1980s,"הרים לנצח, אבן וחול,
אדם רואה ומאמין, עכשיו הכל יכול.
להיות אחרת, זו רק התחלה,
זו משוואה שאין לה סוף,
שיש בה נשמה.
כן כן, קח כל מה שאלוהים נותן.
כן כן, קח כל מה שאלוהים נותן.
באש במים, השחר עלה
ובדלתות של השמיים עוד אמת נגלתה.
לא יש מאין, זה פרי שניטע,
אדם אכל מעץ הדעת,
טוב ורע.
כן כן...
אלוהים נותן גאווה,
אלוהים נותן אהבה,
אלוהים נותן לך אשה,
אלוהים נותן לך אותה.
כן כן...
הרים לנצח, אבן וחול,
אדם רואה ומאמין, עכשיו הכל יכול.
להיות אחרת, זו רק התחלה,
זו משוואה שאין לה סוף,
שיש לה נשמה.
כן כן..."
בפרדס ליד השוקת,יהורם גאון,1980s,"בפרדס ליד השוקת
צל ערביים וירוקת
וציפור שותה.
אשכולית תלויה עדיין
בין החורף והקיץ
ואני כמותה.
עוד אני פוסע
לחפש אחריה
אהבת חיי
ואני יודע
תמה העונה
תמו נעורי.
במרום חמה בוערת
אבל פה עמוק הערב
וכמעט הסתיו.
אם תטעי ושוב תבואי
עוד אהבתנו פה היא
ואני איתה.
עוד אני פוסע...
ריח מים
צל ערביים
נח על המשעול.
בין ערביים
עוד נשובה שניים
יחפים בחול.
עוד אני פוסע..."
חלק משלומי,מנגו,1980s,"ואם תראה אותו
אולי תגיד בשמי
שכבר הרבה ימים
הוא חלק משלומי
בשקט הזמני
בעצב הפנימי
שומעת את קולו
אומר הנה אני
מותר לי לפעמים
לעוף בדמיוני
כי כבר הרבה ימים
הוא חלק משלומי
ודאי ישנה מילה
שעוד צריך להעביר
ודאי ישנה חמלה
שלא ידעתי להעיר
ואם אני קוראת
קוראת את מה שבאוויר
אני לא החולמת
היחידה בעיר
ואם תראה אותו
אולי תגיד בשמי
שכבר הרבה ימים
הוא חלק משלומי
בשקט הזמני
בעצב הפנימי
שומעת את קולו
אומר הנה אני
מותר לי לפעמים
לעוף בדמיוני
כי כבר הרבה ימים
הוא חלק משלומי
כל כך הרבה דברים
צריך לקשור או להתיר
חשבתי הקשרים
שיווצרו מעל הקיר
אולי השיר שלי יבוא
יבוא אליו זהיר
אני לא החולמת
היחידה בעיר
ואם תראה אותו
אולי תגיד בשמי
שכבר הרבה ימים
הוא חלק משלומי
בשקט הזמני
בעצב הפנימי
שומעת את קולו
אומר הנה אני
מותר לי לפעמים
לעוף בדמיוני
כי כבר הרבה ימים
הוא חלק משלומי
לכבוד הזהויות
אני רוצה עוד להזכיר
שזה מקום לחיות
להיפגש ולהכיר
הצעד הזהיר יכול
יכול להיות מסעיר
אני לא החולמת
היחידה בעיר
מותר לי לפעמים
לעוף בדמיוני
כי כבר הרבה ימים
הוא חלק משלומי
ואם תראה אותו
אולי תגיד בשמי
שכבר הרבה ימים
הוא חלק משלומי"
לא לוקח בקלות,אדם,1980s,"ברגע אחרון פחדתי לגשת
אל תוך הצווארון זולגות טיפות של גשם
הראש מסתחרר מסתובב, כמו העולם כולו
ואזהרה פעימה של הלב, מה אם תגידי לא
לא לוקח בקלות, מפחד מכל טעות
לא נותן לא מסתכן ונוהג בזהירות
לא לוקח בקלות, נאבק במציאות
מצללים על הקירות ובפחדים מהילדות
הגשם מתחזק, עם קול חזק של רעם
אם לא ניפגש עכשיו, לא ניפגש אף פעם
פוסע 20 צעדים, עומד בשלולית קפואה
ידיים טיפה מזיעות בכיסים
תגידי, מה השעה
לא לוקח בקלות, מפחד מכל טעות
לא נותן לא מסתכן ונוהג בזהירות
לא לוקח בקלות, נאבק במציאות
מצללים על הקירות ובפחדים מהילדות
לא לוקח בקלות, מפחד מכל טעות
לא נותן לא מסתכן ונוהג בזהירות
לא לוקח בקלות, נאבק במציאות
מצללים על הקירות ובפחדים מהילדות
לא לוקח בקלות"
בעוד שנה אני חוזר,יגאל בשן,1980s,"למה לפעמים אני לא מסתדר
למה השעון אף פעם לא עוצר
שנה יפה שתהיה לכולם
מה בסך הכל צריך הבן אדם
מעט שלווה מעט אהבה
לקום כל יום בבוקר עם סיבה טובה
ללגום עוד כוס קפה
ולרוץ לעבודה
לשכוח את הזמן ולחייך
על חלב שנשפך לא צריך להצטער
בעוד שנה אני חוזר
אז תגידו למה לפעמים אני לא מסתדר
למה השעון אף פעם לא עוצר
שנה יפה שתהיה לכולם
מה בסך הכל צריך הבן אדם
מעט תקווה מעט אמונה
לשכוח ת'צרות של השנה שעברה
תמיד קשה יותר להתבגר
תמיד זה קל יותר לברוח
לשמוע את הרדיו במזג האויר
מחר יהיה יותר בהיר
אז תגידו לי למה לפעמים אני לא מסתדר
למה השעון אף פעם לא עוצר
תהיי טובה שנה שלמה
תהיי טובה אלי יותר
תהיי טובה עם כל הנשמה
בעוד שנה אני חוזר
אז תגידו למה לפעמים אני לא מסתדר
למה השעון אף פעם לא עוצר"
ימים נשברים,עפרה חזה,1980s,"צלילי מרחקים נושאים את הלילה
על גב עננים אל יום המחר
ואת זיכרונך בטרם הלכת
כיסה מעיל בחורף הקר
מנסה עוד לשמור בינינו על קשר
גם אם השקרים הפכו להרגל
אתה עוד תלך אליה בסתר
ואני אחריך נתפסת כמו צל
ימים נשברים, רוצה רק מרגוע
לא אוכל עוד לראות דרכים רחוקות
ימים נשברים, רוצה רק מרגוע
קרובה אליך, טובה אליך, קרובה אליך להיות
מלחמות אבודות הולכות ובאות שוב
ושתינו נשים צעירות ובוכות
מחכות בדממה לאהוב שישוב עוד
ביני ובינה - המילים רועדות"
מאיר ואלון,כוורת,1980s,"זהו מאיר וזה אלון
שהגיעו מארצות הברית
אז נרים כוסית של מים
ונשמור על סולידריות בסיסית
היו ימים שם לא קלים
אפשר לומר קשים אפילו
אבל נודה ולא נסתיר
שנהנינו וגם בילינו
כי פה היתה קצת ידידות
והיא אשר עמדה בפרץ
אם האחד היה צמא
אז השני עשה לו ברז
זהו מאיר...
איך הטיילת השתנתה
האם בדיזנגוף נסעת
כשאתה מגיע לכיכר
אתה נוסע מלמטה
הכל נשאר כמו שהיה
וכל שינוי הוא רק קוסמטי
אם תקלף את הקליפה
אסתר המלכה היא רק אתי
הנה מאיר, הנה אלון, הם הגיעו
מספיק עם השטויות
התכנסנו כאן הערב
לא לשמוע מלודרמות אישיות
בעוד שנים נהיה זקנים
ואז נשב על כוס של בירה
וניזכר ברובע קווינס
ועל מנהטן נשירה
איך שקנינו ""מעריב""
כל יום שישי על יד הסאבוואי
ואיך חייגנו תל אביב
שכן לומומבה חייג זימבבואה
אלון, מאיר
מאיר, אלון
הלו מאיר
נעים פה בעברית
DO YOU LIKE IT
זה בסדר
אני חש מאוד לוקאלי
וכל כך סנטימנטלי
אז נפרוט שוב על גיטרה
בשביל רינה, בשביל שרה
ונהיה ולו לרגע ישנים"
מלכת הכיתה,אילנה אביטל,1980s,"היא מלכת הכיתה
על הכל מחליטה לבד
היא מלכת הכיתה
ואני כאן בצד.
היא מלכת הכיתה
את כולם מרקידה עכשיו
היא מלכת הכיתה
אך עליי היא לא תרכב.
היא מעצבנת, היא מתחנחנת
היא מסובבת את הבנים
אני אראה לה, זה עוד יקרה לה
אני אראה לה איך משתנים
כן, אני אראה לה עוד
מי תהיה מלכת הכיתה.
היא מלכת הכיתה
אין שום סוד בשיטה שלה
היא מלכת הכיתה
לא אשמע בקולה.
היא מעצבנת..."
