decade,first_person_ratio,second_person_ratio,third_person_ratio
1980s,0.037629596255736794,0.03159666462123201,0.033506994217854615
2000s,0.04739114845211576,0.03961613098466872,0.022111381763842267
2020s,0.06102186875089544,0.05448253445759645,0.01728760947403166
