decade,0,1,2,3,4,5,6,7
1980s,0.045,0.08,0.455,0.18,0.105,0.015,0.07,0.05
2000s,0.105,0.12,0.435,0.1,0.075,0.0,0.08,0.085
2020s,0.25380710659898476,0.18274111675126903,0.19289340101522842,0.06598984771573604,0.06091370558375635,0.02030456852791878,0.09644670050761421,0.12690355329949238
