decade,Person=1_count,Person=1_ratio,Person=2_count,Person=2_ratio,Person=3_count,Person=3_ratio,Tense=Past_count,Tense=Past_ratio,Tense=Pres_count,Tense=Pres_ratio,Tense=Fut_count,Tense=Fut_ratio,Number=Sing_count,Number=Sing_ratio,Number=Plur_count,Number=Plur_ratio,Number=Dual_count,Number=Dual_ratio,Gender=Masc_count,Gender=Masc_ratio,Gender=Fem_count,Gender=Fem_ratio,Voice=Act_count,Voice=Act_ratio,Voice=Mid_count,Voice=Mid_ratio,Voice=Pass_count,Voice=Pass_ratio,VerbForm=Inf_count,VerbForm=Inf_ratio,VerbForm=Part_count,VerbForm=Part_ratio,Mood=Imp_count,Mood=Imp_ratio
1980s,2090,0.027144972335506664,1172,0.01522196534794919,2948,0.038288697820609396,1153,0.014975192872171857,0,0.0,868,0.011273605735511859,14847,0.1928332077824246,3089,0.04012000935137803,70,0.0009091617528638595,10582,0.13743928098293373,4997,0.06490116112943865,4371,0.05677065745382757,356,0.004623736914564771,78,0.0010130659531911578,567,0.007364210198197262,2452,0.03184663740031691,187,0.002428760682650596
2000s,2577,0.030923381532369353,1929,0.023147537049259016,2656,0.03187136257274854,1203,0.014435711285774285,0,0.0,1250,0.01499970000599988,15380,0.18455630887382252,3179,0.038147237055258895,78,0.0009359812803743925,11328,0.13593328133437332,4419,0.05302693946121077,5089,0.06106677866442671,403,0.004835903281934361,95,0.001139977200455991,878,0.010535789284214316,2524,0.030287394252114956,258,0.0030959380812383753
2020s,4126,0.03605351229017573,3455,0.0301902290263105,3424,0.029919347087145342,1764,0.015414056151204551,0,0.0,2072,0.018105399288716458,21037,0.18382397916830506,3844,0.033589360456479755,120,0.001048575248381262,14738,0.12878251675535865,5913,0.051668545363986684,7038,0.061498938317561015,457,0.003993324070918639,91,0.0007951695633557903,1060,0.009262414694034481,3003,0.02624059559074108,327,0.0028573675518389387
