decade,feature,count,ratio
1980s,HebRoot=מול,16,0.00020780840065459647
1980s,HebRoot=נסע,16,0.00020780840065459647
1980s,HebRoot=נסי,15,0.00019482037561368418
1980s,HebRoot=לחשׁ,14,0.0001818323505727719
1980s,NumType=Ord,14,0.0001818323505727719
1980s,HebRoot=עור,14,0.0001818323505727719
1980s,HebRoot=פני,14,0.0001818323505727719
1980s,HebRoot=חבק,14,0.0001818323505727719
1980s,HebRoot=עלם,14,0.0001818323505727719
1980s,Aramaic=True,14,0.0001818323505727719
1980s,HebRoot=פסע,14,0.0001818323505727719
1980s,HebRoot=גלי,14,0.0001818323505727719
1980s,HebRoot=עני,13,0.00016884432553185963
1980s,HebRoot=כון,13,0.00016884432553185963
1980s,HebRoot=פסק,13,0.00016884432553185963
1980s,HebRoot=גבר,13,0.00016884432553185963
1980s,HebRoot=מרא,13,0.00016884432553185963
1980s,HebRoot=דמי,12,0.00015585630049094734
1980s,HebRoot=ברח,12,0.00015585630049094734
1980s,HebRoot=חזי,12,0.00015585630049094734
1980s,HebRoot=שׁתק,12,0.00015585630049094734
1980s,HebRoot=אכל,12,0.00015585630049094734
1980s,HebRoot=בער,12,0.00015585630049094734
1980s,HebRoot=כתב,11,0.00014286827545003506
1980s,HebRoot=אסף,11,0.00014286827545003506
1980s,HebRoot=נצח,11,0.00014286827545003506
1980s,HebRoot=קני,11,0.00014286827545003506
1980s,HebRoot=סתר,11,0.00014286827545003506
1980s,HebRoot=קשׁב,10,0.0001298802504091228
1980s,HebRoot=סדר,10,0.0001298802504091228
1980s,HebRoot=נגשׁ,10,0.0001298802504091228
1980s,HebRoot=עקשׁ,10,0.0001298802504091228
1980s,HebRoot=נוח,10,0.0001298802504091228
1980s,HebRoot=שׁחרר,10,0.0001298802504091228
1980s,HebRoot=קרב,10,0.0001298802504091228
1980s,HebRoot=רעד,10,0.0001298802504091228
1980s,HebRoot=ישׁן,10,0.0001298802504091228
1980s,HebRoot=שׂרף,10,0.0001298802504091228
1980s,HebRoot=שׁתי,10,0.0001298802504091228
1980s,HebRoot=נשׁם,10,0.0001298802504091228
1980s,HebRoot=הפך,9,0.00011689222536821051
1980s,HebRoot=קבל,9,0.00011689222536821051
1980s,HebRoot=נכר,9,0.00011689222536821051
1980s,HebRoot=נשׁק,9,0.00011689222536821051
1980s,HebRoot=רוץ,9,0.00011689222536821051
1980s,HebRoot=נכי,9,0.00011689222536821051
1980s,HebRoot=עזר,9,0.00011689222536821051
1980s,NumType=Card,9,0.00011689222536821051
1980s,HebRoot=שׁקע,9,0.00011689222536821051
1980s,HebRoot=פרח,9,0.00011689222536821051
1980s,Tense=Present,9,0.00011689222536821051
1980s,HebRoot=טחן,9,0.00011689222536821051
1980s,HebRoot=רדם,8,0.00010390420032729823
1980s,HebRoot=נוע,8,0.00010390420032729823
1980s,HebRoot=שׁוט,8,0.00010390420032729823
1980s,HebRoot=זמר,8,0.00010390420032729823
1980s,HebRoot=קשׁר,8,0.00010390420032729823
1980s,HebRoot=שׂחק,8,0.00010390420032729823
1980s,HebRoot=רקם,8,0.00010390420032729823
1980s,HebRoot=גור,8,0.00010390420032729823
1980s,HebRoot=שׁלם,8,0.00010390420032729823
1980s,HebRoot=גדל,8,0.00010390420032729823
1980s,HebRoot=פחד,8,0.00010390420032729823
1980s,HebRoot=פקח,8,0.00010390420032729823
1980s,HebRoot=סכל,8,0.00010390420032729823
1980s,HebRoot=נדד,8,0.00010390420032729823
1980s,HebRoot=דאג,8,0.00010390420032729823
1980s,HebRoot=יסף,7,9.091617528638595e-05
1980s,HebRoot=נשׁב,7,9.091617528638595e-05
1980s,HebRoot=מהר,7,9.091617528638595e-05
1980s,HebRoot=יתר,7,9.091617528638595e-05
1980s,HebRoot=עיף,7,9.091617528638595e-05
1980s,HebRoot=מות,7,9.091617528638595e-05
1980s,HebRoot=שׁטף,7,9.091617528638595e-05
1980s,HebRoot=זרם,7,9.091617528638595e-05
1980s,HebRoot=חמק,7,9.091617528638595e-05
1980s,HebRoot=זרק,7,9.091617528638595e-05
1980s,HebRoot=זור,7,9.091617528638595e-05
1980s,HebRoot=רגע,7,9.091617528638595e-05
1980s,HebRoot=רכב,7,9.091617528638595e-05
1980s,HebRoot=שׁדר,7,9.091617528638595e-05
1980s,Number=SingNumType=Ord,7,9.091617528638595e-05
1980s,HebRoot=טלפּן,7,9.091617528638595e-05
1980s,HebRoot=שׁרק,6,7.792815024547367e-05
1980s,HebRoot=רבץ,6,7.792815024547367e-05
1980s,Case=Nom,6,7.792815024547367e-05
1980s,HebRoot=טיל,6,7.792815024547367e-05
1980s,HebRoot=ותר,6,7.792815024547367e-05
1980s,HebRoot=פלג,6,7.792815024547367e-05
1980s,HebRoot=צוץ,6,7.792815024547367e-05
1980s,HebRoot=צפי,6,7.792815024547367e-05
1980s,HebRoot=שׁבע,6,7.792815024547367e-05
1980s,HebRoot=סים,6,7.792815024547367e-05
1980s,HebRoot=קפץ,6,7.792815024547367e-05
1980s,HebRoot=טרף,6,7.792815024547367e-05
1980s,HebRoot=בני,6,7.792815024547367e-05
1980s, Number=Sing,6,7.792815024547367e-05
1980s, Person=3,6,7.792815024547367e-05
1980s,HebRoot=שׁכן,6,7.792815024547367e-05
1980s,HebRoot=מלא,6,7.792815024547367e-05
1980s,HebRoot=שׁכב,6,7.792815024547367e-05
1980s,HebRoot=קדם,6,7.792815024547367e-05
1980s,HebRoot=טעי,6,7.792815024547367e-05
1980s,HebRoot=נהג,6,7.792815024547367e-05
1980s,HebRoot=חדר,6,7.792815024547367e-05
1980s,HebRoot=יאשׁ,6,7.792815024547367e-05
1980s,HebRoot=קלקל,6,7.792815024547367e-05
1980s,HebRoot=צלצל,5,6.49401252045614e-05
1980s,HebRoot=נתר,5,6.49401252045614e-05
1980s,HebRoot=תקע,5,6.49401252045614e-05
1980s,HebRoot=ילד,5,6.49401252045614e-05
1980s,HebRoot=פרץ,5,6.49401252045614e-05
1980s,HebRoot=בטח,5,6.49401252045614e-05
1980s,HebRoot=זרח,5,6.49401252045614e-05
1980s,HebRoot=צעק,5,6.49401252045614e-05
1980s,HebRoot=חנק,5,6.49401252045614e-05
1980s,HebRoot=גלגל,5,6.49401252045614e-05
1980s,HebRoot=חלט,5,6.49401252045614e-05
1980s,HebRoot=דהר,5,6.49401252045614e-05
1980s,HebRoot=ציר,5,6.49401252045614e-05
1980s,HebRoot=פ\קשׁשׁ,5,6.49401252045614e-05
1980s,HebRoot=דפק,5,6.49401252045614e-05
1980s,HebRoot=כסי,5,6.49401252045614e-05
1980s,HebRoot=קלף,5,6.49401252045614e-05
1980s,HebRoot=פרשׂ,5,6.49401252045614e-05
1980s,HebRoot=ישׁט,5,6.49401252045614e-05
1980s,HebRoot=פוג,5,6.49401252045614e-05
1980s,HebRoot=עשׁן,5,6.49401252045614e-05
1980s,HebRoot=צעד,5,6.49401252045614e-05
1980s,HebRoot=אחז,5,6.49401252045614e-05
1980s,HebRoot=צמד,5,6.49401252045614e-05
1980s,HebRoot=מרח,5,6.49401252045614e-05
1980s,HebRoot=רום,5,6.49401252045614e-05
1980s,HebRoot=יבשׁ,5,6.49401252045614e-05
1980s,HebRoot=אלם,5,6.49401252045614e-05
1980s,HebRoot=כנע,5,6.49401252045614e-05
1980s,HebRoot=נזל,5,6.49401252045614e-05
1980s,HebRoot=סבך,5,6.49401252045614e-05
1980s,HebRoot=סכן,5,6.49401252045614e-05
1980s,HebRoot=כוץ,5,6.49401252045614e-05
1980s,HebRoot=דאי,4,5.195210016364912e-05
1980s,HebRoot=סבר,4,5.195210016364912e-05
1980s,HebRoot=קרץ,4,5.195210016364912e-05
1980s,HebRoot=פגע,4,5.195210016364912e-05
1980s,HebRoot=נוד,4,5.195210016364912e-05
1980s,HebRoot=חשׁק,4,5.195210016364912e-05
1980s,HebRoot=צער,4,5.195210016364912e-05
1980s,HebRoot=אחר,4,5.195210016364912e-05
1980s,HebRoot=שׂמח,4,5.195210016364912e-05
1980s,HebRoot=עצם,4,5.195210016364912e-05
1980s,HebRoot=גאי,4,5.195210016364912e-05
1980s,HebRoot=בהר,4,5.195210016364912e-05
1980s,HebRoot=צוף,4,5.195210016364912e-05
1980s,HebRoot=חתך,4,5.195210016364912e-05
1980s,HebRoot=גנב,4,5.195210016364912e-05
1980s,HebRoot=ספק,4,5.195210016364912e-05
1980s,HebRoot=בזבז,4,5.195210016364912e-05
1980s,HebRoot=סדק,4,5.195210016364912e-05
1980s,HebRoot=גרף,4,5.195210016364912e-05
1980s,HebRoot=פזר,4,5.195210016364912e-05
1980s,NumType=Mult,4,5.195210016364912e-05
1980s,HebRoot=בישׁ,4,5.195210016364912e-05
1980s,HebRoot=סחף,4,5.195210016364912e-05
1980s,HebRoot=גמע,4,5.195210016364912e-05
1980s,HebRoot=פעל,4,5.195210016364912e-05
1980s,HebRoot=חושׁ,4,5.195210016364912e-05
1980s,HebRoot=כעס,4,5.195210016364912e-05
