feature,eta_squared,between_group_sum_of_squares,total_sum_of_squares,1980s_mean,2000s_mean,2020s_mean
repeated_words_count,0.24433531193951324,28227.624760179915,115528.2244556114,19.62,21.25,34.98984771573604
repeated_lines_count,0.17468671458291227,5485.729911358826,31403.246231155787,4.55,4.205,10.817258883248732
second_person_morph_count,0.16642173913646907,24532.781075130304,147413.31993299833,17.43,21.795,32.70558375634518
word_count,0.16492030212127323,512343.20728962077,3106610.8944723615,118.46,130.095,185.751269035533
second_person_count,0.15809143721461283,4072.6520370464855,25761.370184254603,3.865,4.97,9.888324873096447
pos_adv_count,0.1534798838672196,12459.489773954376,81179.95309882748,13.515,16.37,24.33502538071066
lemma_diversity,0.15068412111167676,1.0539867678515062,6.9946770772904685,0.468404929010018,0.47264467394089665,0.3812413477348595
char_count,0.1481738186700007,11298962.182710253,76254781.6080402,594.155,651.425,911.0913705583756
pos_pron_count,0.1481075675402163,28854.648743931175,194822.24455611387,20.24,23.055,36.22842639593909
dicta_non_punct_token_count,0.14218436941947923,867713.3869538049,6102734.010050251,170.405,182.835,256.9746192893401
pos_verb_count,0.14130241330004056,26475.673179306003,187368.86767169178,25.055,29.35,40.86294416243655
pos_sconj_count,0.13764709291734903,2172.0148684624482,15779.591289782245,3.43,5.645,8.106598984771574
line_count,0.13461188725988,17478.1458868794,129841.02847571191,28.465,28.985,40.223350253807105
lemma_count,0.13328726885244588,701091.7794116098,5260005.591289782,164.2,173.93,241.4517766497462
first_person_morph_count,0.1280287636105423,21722.634317101583,169669.95309882748,21.91,25.07,36.02030456852792
repeated_lines_ratio,0.12581659233660375,1.5932678044258868,12.663415650006904,0.1429999554149568,0.12701818237815346,0.24399216730436796
root_count,0.1243847806442423,20734.304549864384,166694.8676716918,24.24,28.425,38.3248730964467
chorus_repetition_score,0.12335053468162277,3.8732004941521754,31.399948967786838,0.24108793473898693,0.21791056729832609,0.3996078469105194
lexical_diversity,0.12266206271529954,1.3961965563213758,11.382464352992079,0.6590433245422146,0.660410029180532,0.5568852045788036
repetition_ratio,0.12266206271529953,1.3961965563213758,11.38246435299208,0.3409566754577854,0.33958997081946796,0.44311479542119636
max_words_per_line,0.1212562307202453,539.5232006479096,4449.447236180905,6.69,7.275,8.939086294416244
first_person_singular_count,0.12009934890394247,3424.8886228945075,28517.128978224457,4.765,6.295,10.446700507614214
dicta_token_count,0.11895674598488512,858577.6073700567,7217561.309882747,181.465,194.69,267.9035532994924
singular_count,0.11336366679932866,128197.78833579917,1130854.284757119,71.735,74.31,104.10659898477158
masculine_count,0.10889200909180206,111461.28412655498,1023594.7068676717,63.07,68.83,94.57360406091371
dicta_content_token_count,0.10831389853772988,148819.30730105686,1373963.1691792295,83.905,88.275,119.4517766497462
binyan_hifil_count,0.10811467316949046,1020.9788334651258,9443.480737018424,2.49,3.555,5.644670050761421
pos_adp_count,0.10769978808425264,20975.95529445025,194763.19932998324,27.905,28.81,40.93908629441624
pos_noun_ratio,0.10740322670509074,0.25562101389716807,2.380012423640267,0.21283589373197448,0.18323539550155835,0.16235921657290842
last_word_repetition_ratio,0.1020176870730945,1.4931406378752035,14.636095766466314,0.23099624391209794,0.21202949461529338,0.326582862091289
feminine_count,0.09308137106924921,30386.746620411686,326453.5778894472,36.14,35.6,51.035532994923855
repeated_words_ratio,0.09145972407581265,1.2466552511960578,13.630647411123636,0.27409226169196094,0.27260638342540455,0.3705252696137665
tense_future_count,0.08621192089214846,3891.7701572158585,45141.90284757118,4.3,6.13,10.406091370558375
binyan_paal_count,0.08503583888713333,6339.339744407315,74549.0351758794,16.0,17.6,23.588832487309645
unique_root_count,0.06835788010009346,3390.8723754559605,49604.70351758794,16.035,18.8,21.878172588832488
root_diversity,0.06749947884320776,1.134397523344736,16.806018991343468,0.6957487247242873,0.6941726720441734,0.6022650943826205
second_person_ratio,0.06730027544403819,0.05059989440512398,0.7518527089417193,0.031768690917264655,0.04028421796827951,0.05414865636673804
pos_sconj_ratio,0.06550949098749854,0.01850196884397087,0.28243188223675375,0.01986105943601923,0.03138474849770779,0.03191304354641096
most_repeated_line_count,0.06468158076032358,159.16306005492774,2460.7169179229486,2.715,2.525,3.7055837563451774
most_common_word_count,0.06223196085756133,2608.7669263831854,41920.05025125629,8.32,8.125,12.66497461928934
punctuation_ratio,0.061650116222743676,0.01209648988485308,0.19621195588907095,0.02441057550968938,0.023094783600599893,0.014248308831429714
unique_word_count,0.060776774620749686,54428.060230849675,895540.4522613066,75.755,83.795,98.83756345177665
binyan_piel_count,0.05951028897251154,525.7792843234785,8835.098827470687,2.865,3.505,5.101522842639594
avg_word_length,0.054453829677398896,2.3276948682997283,42.746210543678984,3.8990624640964042,3.884686122724676,3.759668529280282
verb_inf_count,0.052857576166078245,644.9777065530697,12202.180904522615,2.805,4.295,5.340101522842639
unique_lines_count,0.05033611181207473,3452.444805457065,68587.83249581238,23.915,24.78,29.406091370558375
pos_det_count,0.0493123687917304,3369.8224237940985,68336.25125628141,15.32,14.72,20.04568527918782
verb_participle_ratio,0.045214211048374316,1.1260600134509038,24.90500193061295,0.45721469667779,0.41169401002527023,0.3510198678897091
second_person_morph_ratio,0.04487825303432088,0.08224099809510022,1.8325356388584462,0.10258173355214643,0.12405320062179656,0.12986410519875663
third_person_morph_ratio,0.04463938855701568,0.07941207114927501,1.7789686130634588,0.15265679171738122,0.13992961504278978,0.12440900793279308
pos_cconj_ratio,0.04142565326686551,0.01795297981598717,0.43337831513080666,0.05818828312017117,0.05442065990039072,0.045112509904120815
tense_past_count,0.040807231121349985,1275.898300725285,31266.475711892796,5.625,5.925,8.873096446700508
last_word_unique_count,0.038740508204214506,2166.604387291789,55926.07035175879,21.41,22.365,25.85279187817259
unique_lemma_count,0.03597605563702531,22268.239928279316,618973.9128978224,73.46,78.895,88.2741116751269
pos_pron_ratio,0.03501638602797397,0.05403810776100065,1.5432234416718669,0.11583568167658026,0.12818199154748255,0.13915282140086227
third_person_ratio,0.03406387107352051,0.025783507755020738,0.756916549483523,0.03276797642703518,0.02140620732731681,0.017210895525850384
pos_intj_count,0.0330864999498762,145.73189985460294,4404.572864321608,0.985,0.685,1.8527918781725887
first_person_singular_ratio,0.0318070181546184,0.02937099109154566,0.9234122780315064,0.03895628643562336,0.04875381121668155,0.0560940963587853
direct_address_score,0.03180104085541813,1.053081642375247,33.11469103049271,0.29449833677340664,0.34706363918595684,0.39749424641355835
pos_adj_ratio,0.03172511837381266,0.012364923160380414,0.38975183684695025,0.042081630394488895,0.04004203628702852,0.03154727699165794
third_person_morph_count,0.030547878971168837,5864.816158797368,191987.6716917923,26.22,25.45,32.46700507614213
pos_num_count,0.030008239789614567,179.2861135627375,5974.562814070352,1.485,1.425,2.6192893401015227
pos_noun_count,0.02934448141185492,6927.034786836049,236059.19932998324,35.595,32.9,41.101522842639596
pos_aux_count,0.028673203803666048,154.67546063651594,5394.425460636517,1.775,2.175,3.0
dicta_unknown_token_count,0.02856606006583759,9108.794785178006,318867.73199329985,6.205,8.905,15.52284263959391
binyan_hifil_ratio,0.028369507669510075,0.13110405601723704,4.621301770356071,0.09030168808291927,0.11025561446990771,0.12657716663189736
avg_words_per_line,0.027287537062370255,29.76927164644033,1090.9475479006278,4.254517740336179,4.545776357002953,4.801727203896824
verb_participle_count,0.026813197306451333,1117.6296663095507,41682.07370184255,11.99,12.345,15.060913705583756
pos_adv_ratio,0.025674167432569197,0.033578888863307094,1.3078861837097118,0.08131020419629316,0.08792726186416097,0.09949239948337779
first_person_plural_count,0.02552885485681793,32.280103776071556,1264.4556113902847,0.395,0.46,0.9187817258883249
tense_future_ratio,0.024846468328639848,0.4442763308342812,17.88086439319732,0.15206569363339484,0.19288163705488523,0.21834042747619456
pos_verb_ratio,0.02392336377200497,0.030484042318659497,1.2742372941020865,0.14780224296214528,0.16435322147662362,0.1609165824309747
nature_words_ratio,0.022435203088971553,0.0013062488350298086,0.058223178539975856,0.0067528697159239225,0.00439760402498063,0.0031891037367043798
binyan_paal_ratio,0.022173618982856937,0.30884332292863426,13.928413001387366,0.5982551923818756,0.5668379961016173,0.54264615301925
digit_count,0.021972104942066726,37.390192289705716,1701.71189279732,0.075,0.1,0.6192893401015228
pos_propn_count,0.02173531216282344,914.7672747833925,42086.68676716918,2.65,2.38,5.137055837563452
parenthesis_count,0.02137939932388577,584.6922641974679,27348.395309882748,0.2,0.35,2.3756345177664975
min_words_per_line,0.020585787611900348,14.86962817471451,722.324958123953,2.19,2.28,1.9086294416243654
dicta_x_pos_count,0.02046304816335185,6169.214430613302,301480.71691792295,5.605,8.175,13.350253807106599
quote_count,0.018258942575525267,130.24223018646535,7133.065326633166,0.885,1.545,2.0253807106598987
binyan_hitpael_count,0.01815864621386879,52.83089304389971,2909.407035175879,1.4,1.85,2.1218274111675126
plural_count,0.01766296795752428,1824.2011527179038,103278.29145728642,15.275,15.595,19.14213197969543
question_mark_count,0.017310285840330935,48.71311604554074,2814.1139028475714,0.305,0.87,0.9441624365482234
plural_ratio,0.016810126740629542,0.029915675071469826,1.77962222016831,0.09328479987647331,0.08401001159895313,0.07594015798000286
median_words_per_line,0.01664990469513529,22.276861305257306,1337.9572864321608,4.22,4.5025,4.690355329949239
pos_intj_ratio,0.015093601133362717,0.0011205713826921576,0.07424148636174438,0.005616039550666236,0.0029439248254147553,0.006035001633116012
party_words_ratio,0.014754667176025065,0.001118556010786775,0.07581031801275209,0.005294314980824932,0.002258277479752333,0.002555226064945125
english_char_count,0.014734153498118656,34820.765365108105,2363268.8073701845,0.495,6.11,18.79187817258883
pos_propn_ratio,0.013710091608408097,0.004061358245982021,0.296231298957279,0.014936938808247029,0.009543909158408755,0.01519582464769371
pos_cconj_count,0.013297491643232472,319.65784476528165,24038.958123953096,9.755,9.87,11.365482233502538
binyan_nifal_ratio,0.012785571502673516,0.03291100270304617,2.5740736498297587,0.06988208429688267,0.059730927720272685,0.05171951493948966
verb_inf_ratio,0.012674788207539091,0.08857657339299961,6.988406586574234,0.10028660328549112,0.12790105110486025,0.12375530411089837
pos_det_ratio,0.01253654010710867,0.009077878534884502,0.7241135478629401,0.08884561388857032,0.08118475352804694,0.08008447959579466
imperative_count,0.012527468008089914,53.536900449795525,4273.561139028476,0.905,1.16,1.6294416243654823
english_char_ratio,0.011487796770962901,0.02599012431680811,2.2624115689878828,0.000658706977592001,0.007355048688926558,0.016771387331874808
first_person_plural_ratio,0.01123599006109076,0.0005384693392822277,0.04792362189308973,0.003151373797206667,0.0033012758282065812,0.005241888304105233
binyan_hitpael_ratio,0.009960220834099604,0.023549951631436302,2.3644005513222335,0.04914149421138745,0.062156380195553744,0.04857167875219315
binyan_hufal_ratio,0.009911874832903058,0.0016094080739726521,0.1623717108119774,0.0058156530021893525,0.0053842653667060154,0.0021283434397968183
binyan_nifal_count,0.00985750494120485,31.335010288328263,3178.797319932998,1.755,1.99,2.314720812182741
dicta_unknown_token_ratio,0.009416049992111302,0.04171778207587338,4.430497088569435,0.03508816803025184,0.04129500439454693,0.055128908817312354
third_person_count,0.009267346443253601,234.86877199023874,25343.691792294805,4.14,2.625,3.583756345177665
feminine_ratio,0.008816639833732733,0.028935892952031035,3.281963820425263,0.21448373442994723,0.2015028362759187,0.19842450137421466
singular_ratio,0.008354003197691482,0.031112837819084638,3.724302838150967,0.4198441926603427,0.4122405866261285,0.40218908864663133
first_person_morph_ratio,0.006964892754776936,0.011432671718111855,1.641471322048807,0.13102809100027635,0.1404061910355274,0.14018752300047296
tense_past_ratio,0.006580393602814494,0.10989612250529104,16.700539380849115,0.2110167892962337,0.1787445596832318,0.20147884559964352
army_words_ratio,0.006510029903198021,2.709677536301763e-05,0.004162311965680291,0.0006421099141728715,0.0008667765507524655,0.00034572772000895333
dicta_x_pos_ratio,0.00619035504513771,0.02679843166831536,4.329062141494536,0.031652462730882576,0.03809844051035231,0.047973137665543945
religion_words_ratio,0.005993199862107632,9.895141584268771e-05,0.016510615050286243,0.00162541998163645,0.001072868733154973,0.002069117003791986
binyan_hufal_count,0.005830647871380818,0.8689325646846757,149.0284757118928,0.145,0.195,0.10152284263959391
modern_slang_words_ratio,0.004919884223983444,5.579466886910329e-05,0.011340646716261232,0.001072737932003636,0.0006414152277169235,0.0013878894870407155
pos_adj_count,0.004557490469256953,94.9514892992884,20834.160804020103,7.09,7.275,8.01522842639594
exclamation_mark_count,0.0044107241091497565,8.173773648275217,1853.1591289782243,0.175,0.23,0.4467005076142132
family_words_ratio,0.004011723469451877,0.0005109751358267992,0.12737047797978307,0.008087561223862652,0.009121674772616812,0.010354199251385502
