decade,word_count,unique_word_count,char_count,line_count,avg_words_per_line,median_words_per_line,max_words_per_line,min_words_per_line,avg_word_length,lexical_diversity,repetition_ratio,punctuation_count,punctuation_ratio,question_mark_count,exclamation_mark_count,comma_count,quote_count,parenthesis_count,digit_count,english_char_count,english_char_ratio,repeated_lines_count,repeated_lines_ratio,unique_lines_count,most_repeated_line_count,chorus_repetition_score,repeated_words_count,repeated_words_ratio,most_common_word_count,most_common_word_ratio,first_person_singular_count,first_person_singular_ratio,first_person_plural_count,first_person_plural_ratio,second_person_count,second_person_ratio,third_person_count,third_person_ratio,we_vs_i_ratio,direct_address_score,love_words_ratio,army_words_ratio,nature_words_ratio,religion_words_ratio,party_words_ratio,sadness_words_ratio,nostalgia_words_ratio,family_words_ratio,place_words_ratio,time_words_ratio,modern_slang_words_ratio,old_israeli_words_ratio,last_word_unique_count,last_word_repetition_ratio,avg_last_word_length
1980s,118.46,75.755,594.155,28.465,4.254517740336179,4.22,6.69,2.19,3.8990624640964033,0.6590433245422146,0.3409566754577854,14.51,0.024410575509689426,0.305,0.175,5.755,0.885,0.2,0.075,0.495,0.0006587069775920029,4.55,0.1429999554149568,23.915,2.715,0.24108793473898693,19.62,0.27409226169196094,8.32,0.07153785483209356,4.765,0.03895628643562339,0.395,0.003151373797206675,3.865,0.03176869091726468,4.14,0.03276797642703522,0.19245526695526696,0.29449833677340664,0.004395445784150206,0.0006421099141728736,0.006752869715923939,0.001625419981636455,0.005294314980824941,0.004071925230378957,0.003932863677341507,0.00808756122386267,0.0030804011208417055,0.02970025818322475,0.0010727379320036395,0.00013193735103847462,21.41,0.23099624391209797,4.526828668576282
2000s,130.095,83.795,651.425,28.985,4.545776357002953,4.5025,7.275,2.28,3.884686122724676,0.6604100291805319,0.33958997081946796,16.45,0.02309478360059993,0.87,0.23,6.215,1.545,0.35,0.1,6.11,0.007355048688926562,4.205,0.1270181823781535,24.78,2.525,0.21791056729832609,21.25,0.27260638342540455,8.125,0.06658622603302777,6.295,0.04875381121668158,0.46,0.0033012758282065903,4.97,0.040284217968279544,2.625,0.02140620732731683,0.21833490409466577,0.34706363918595684,0.005286942992823791,0.0008667765507524691,0.004397604024980641,0.001072868733154978,0.002258277479752341,0.004269489894824389,0.00391300176047378,0.00912167477261683,0.0023344620802001875,0.026903522466937696,0.0006414152277169264,0.00017406299218795346,22.365,0.21202949461529344,4.51266688923559
2020s,185.751269035533,98.83756345177665,911.0913705583756,40.223350253807105,4.8017272038968235,4.690355329949239,8.939086294416244,1.9086294416243654,3.759668529280282,0.5568852045788036,0.44311479542119636,15.284263959390863,0.014248308831429758,0.9441624365482234,0.4467005076142132,5.4213197969543145,2.0253807106598987,2.3756345177664975,0.6192893401015228,18.79187817258883,0.016771387331874815,10.817258883248732,0.243992167304368,29.406091370558375,3.7055837563451774,0.3996078469105194,34.98984771573604,0.3705252696137665,12.66497461928934,0.06726619377977322,10.446700507614214,0.056094096358785324,0.9187817258883249,0.00524188830410525,9.888324873096447,0.05414865636673808,3.583756345177665,0.017210895525850412,0.19964837932903812,0.39749424641355846,0.004040867351286864,0.00034572772000895517,0.003189103736704391,0.002069117003791994,0.002555226064945135,0.004774877156366414,0.0036554178279899737,0.010354199251385532,0.00325420528432243,0.02619671671692016,0.0013878894870407244,8.460236886632826e-05,25.85279187817259,0.326582862091289,4.479881491361833
