decade,word_count,unique_word_count,char_count,line_count,avg_words_per_line,median_words_per_line,max_words_per_line,min_words_per_line,avg_word_length,lexical_diversity,repetition_ratio,punctuation_count,punctuation_ratio,question_mark_count,exclamation_mark_count,comma_count,quote_count,parenthesis_count,digit_count,english_char_count,english_char_ratio,repeated_lines_count,repeated_lines_ratio,unique_lines_count,most_repeated_line_count,chorus_repetition_score,repeated_words_count,repeated_words_ratio,most_common_word_count,most_common_word_ratio,first_person_singular_count,first_person_singular_ratio,first_person_plural_count,first_person_plural_ratio,second_person_count,second_person_ratio,third_person_count,third_person_ratio,we_vs_i_ratio,direct_address_score,love_words_ratio,army_words_ratio,nature_words_ratio,religion_words_ratio,party_words_ratio,sadness_words_ratio,nostalgia_words_ratio,family_words_ratio,place_words_ratio,time_words_ratio,modern_slang_words_ratio,old_israeli_words_ratio,last_word_unique_count,last_word_repetition_ratio,avg_last_word_length,dicta_token_count,dicta_non_punct_token_count,dicta_content_token_count,lemma_count,unique_lemma_count,lemma_diversity,root_count,unique_root_count,root_diversity,dicta_unknown_token_count,dicta_unknown_token_ratio,dicta_x_pos_count,dicta_x_pos_ratio,pos_noun_count,pos_noun_ratio,pos_verb_count,pos_verb_ratio,pos_adj_count,pos_adj_ratio,pos_adv_count,pos_adv_ratio,pos_pron_count,pos_pron_ratio,pos_propn_count,pos_propn_ratio,pos_adp_count,pos_adp_ratio,pos_det_count,pos_det_ratio,pos_cconj_count,pos_cconj_ratio,pos_sconj_count,pos_sconj_ratio,pos_aux_count,pos_aux_ratio,pos_num_count,pos_num_ratio,pos_intj_count,pos_intj_ratio,tense_past_count,tense_past_ratio,tense_present_count,tense_present_ratio,tense_future_count,tense_future_ratio,verb_inf_count,verb_inf_ratio,verb_participle_count,verb_participle_ratio,imperative_count,imperative_ratio,masculine_count,masculine_ratio,feminine_count,feminine_ratio,singular_count,singular_ratio,plural_count,plural_ratio,first_person_morph_count,first_person_morph_ratio,second_person_morph_count,second_person_morph_ratio,third_person_morph_count,third_person_morph_ratio,binyan_paal_count,binyan_paal_ratio,binyan_piel_count,binyan_piel_ratio,binyan_hifil_count,binyan_hifil_ratio,binyan_hitpael_count,binyan_hitpael_ratio,binyan_nifal_count,binyan_nifal_ratio,binyan_pual_count,binyan_pual_ratio,binyan_hufal_count,binyan_hufal_ratio
1980s,118.46,75.755,594.155,28.465,4.254517740336179,4.22,6.69,2.19,3.8990624640964042,0.6590433245422146,0.3409566754577854,14.51,0.02441057550968938,0.305,0.175,5.755,0.885,0.2,0.075,0.495,0.000658706977592001,4.55,0.1429999554149568,23.915,2.715,0.24108793473898693,19.62,0.27409226169196094,8.32,0.07153785483209352,4.765,0.03895628643562336,0.395,0.003151373797206667,3.865,0.03176869091726465,4.14,0.03276797642703519,0.19245526695526696,0.2944983367734066,0.0043954457841501975,0.0006421099141728715,0.0067528697159239225,0.00162541998163645,0.005294314980824932,0.004071925230378946,0.0039328636773414945,0.00808756122386265,0.0030804011208417,0.029700258183224717,0.001072737932003636,0.000131937351038474,21.41,0.23099624391209794,4.526828668576282,181.465,170.405,83.905,164.2,73.46,0.468404929010018,24.24,16.035,0.6957487247242873,6.205,0.03508816803025184,5.605,0.031652462730882576,35.595,0.21283589373197448,25.055,0.14780224296214528,7.09,0.042081630394488895,13.515,0.08131020419629316,20.24,0.11583568167658026,2.65,0.014936938808247029,27.905,0.16141723452123805,15.32,0.08884561388857032,9.755,0.05818828312017117,3.43,0.01986105943601923,1.775,0.010821638683755477,1.485,0.008795076298967402,0.985,0.0056160395506662355,5.625,0.21101678929623366,0.0,0.0,4.3,0.15206569363339484,2.805,0.10028660328549113,11.99,0.45721469667779,0.905,0.033353010646102195,63.07,0.3709877109136955,36.14,0.21448373442994723,71.735,0.41984419266034256,15.275,0.09328479987647331,21.91,0.13102809100027632,17.43,0.10258173355214643,26.22,0.15265679171738122,16.0,0.5982551923818757,2.865,0.1040305188923452,2.49,0.09030168808291927,1.4,0.049141494211387464,1.755,0.06988208429688267,0.18,0.00705465560344412,0.145,0.0058156530021893525
2000s,130.095,83.795,651.425,28.985,4.545776357002953,4.5025,7.275,2.28,3.884686122724676,0.6604100291805319,0.33958997081946796,16.45,0.023094783600599893,0.87,0.23,6.215,1.545,0.35,0.1,6.11,0.007355048688926558,4.205,0.12701818237815346,24.78,2.525,0.21791056729832609,21.25,0.27260638342540455,8.125,0.06658622603302775,6.295,0.04875381121668155,0.46,0.0033012758282065812,4.97,0.0402842179682795,2.625,0.021406207327316806,0.21833490409466574,0.34706363918595684,0.005286942992823777,0.0008667765507524655,0.00439760402498063,0.001072868733154973,0.002258277479752333,0.004269489894824374,0.003913001760473765,0.009121674772616812,0.002334462080200177,0.02690352246693766,0.0006414152277169235,0.00017406299218795249,22.365,0.21202949461529338,4.51266688923559,194.69,182.835,88.275,173.93,78.895,0.4726446739408967,28.425,18.8,0.6941726720441734,8.905,0.04129500439454693,8.175,0.038098440510352306,32.9,0.18323539550155832,29.35,0.16435322147662365,7.275,0.04004203628702851,16.37,0.08792726186416099,23.055,0.12818199154748255,2.38,0.009543909158408753,28.81,0.15975680136885223,14.72,0.08118475352804694,9.87,0.05442065990039071,5.645,0.03138474849770779,2.175,0.011505744937289668,1.425,0.007421110596682363,0.685,0.0029439248254147553,5.925,0.1787445596832318,0.0,0.0,6.13,0.19288163705488523,4.295,0.12790105110486025,12.345,0.41169401002527023,1.16,0.035836539759474526,68.83,0.3743761781581299,35.6,0.2015028362759187,74.31,0.4122405866261285,15.595,0.08401001159895313,25.07,0.1404061910355274,21.795,0.12405320062179656,25.45,0.13992961504278978,17.6,0.5668379961016173,3.505,0.10786627207537829,3.555,0.11025561446990771,1.85,0.062156380195553744,1.99,0.059730927720272685,0.225,0.0067603935920398485,0.195,0.005384265366706017
2020s,185.751269035533,98.83756345177665,911.0913705583756,40.223350253807105,4.8017272038968235,4.690355329949239,8.939086294416244,1.9086294416243654,3.759668529280282,0.5568852045788035,0.44311479542119636,15.284263959390863,0.014248308831429716,0.9441624365482234,0.4467005076142132,5.4213197969543145,2.0253807106598987,2.3756345177664975,0.6192893401015228,18.79187817258883,0.016771387331874808,10.817258883248732,0.24399216730436799,29.406091370558375,3.7055837563451774,0.3996078469105194,34.98984771573604,0.3705252696137665,12.66497461928934,0.06726619377977316,10.446700507614214,0.05609409635878529,0.9187817258883249,0.005241888304105232,9.888324873096447,0.05414865636673804,3.583756345177665,0.017210895525850384,0.19964837932903812,0.39749424641355846,0.004040867351286849,0.00034572772000895333,0.0031891037367043798,0.002069117003791986,0.0025552260649451255,0.004774877156366395,0.003655417827989958,0.010354199251385502,0.003254205284322419,0.026196716716920122,0.0013878894870407153,8.460236886632792e-05,25.85279187817259,0.326582862091289,4.479881491361833,267.9035532994924,256.9746192893401,119.4517766497462,241.4517766497462,88.2741116751269,0.3812413477348595,38.3248730964467,21.878172588832488,0.6022650943826205,15.52284263959391,0.055128908817312354,13.350253807106599,0.047973137665543945,41.101522842639596,0.16235921657290842,40.86294416243655,0.16091658243097473,8.01522842639594,0.03154727699165794,24.33502538071066,0.09949239948337779,36.22842639593909,0.13915282140086227,5.137055837563452,0.01519582464769371,40.93908629441624,0.15905465273183306,20.04568527918782,0.08008447959579466,11.365482233502538,0.045112509904120815,8.106598984771574,0.03191304354641096,3.0,0.011876938426300034,2.6192893401015227,0.009233962824213609,1.8527918781725887,0.006035001633116012,8.873096446700508,0.20147884559964352,0.0,0.0,10.406091370558375,0.21834042747619456,5.340101522842639,0.12375530411089838,15.060913705583756,0.3510198678897091,1.6294416243654823,0.03399794606407598,94.57360406091371,0.3666296308369373,51.035532994923855,0.19842450137421466,104.10659898477158,0.4021890886466314,19.14213197969543,0.07594015798000286,36.02030456852792,0.140187523000473,32.70558375634518,0.12986410519875663,32.46700507614213,0.12440900793279308,23.588832487309645,0.54264615301925,5.101522842639594,0.11268833375355035,5.644670050761421,0.12657716663189736,2.1218274111675126,0.04857167875219315,2.314720812182741,0.05171951493948966,0.27918781725888325,0.005682792451904535,0.10152284263959391,0.0021283434397968183
