song_name,artist_name,decade,word_count,unique_word_count,char_count,line_count,avg_words_per_line,median_words_per_line,max_words_per_line,min_words_per_line,avg_word_length,lexical_diversity,repetition_ratio,punctuation_count,punctuation_ratio,question_mark_count,exclamation_mark_count,comma_count,quote_count,parenthesis_count,digit_count,english_char_count,english_char_ratio,repeated_lines_count,repeated_lines_ratio,unique_lines_count,most_repeated_line_count,chorus_repetition_score,repeated_words_count,repeated_words_ratio,most_common_word_count,most_common_word_ratio,first_person_singular_count,first_person_singular_ratio,first_person_plural_count,first_person_plural_ratio,second_person_count,second_person_ratio,third_person_count,third_person_ratio,we_vs_i_ratio,direct_address_score,love_words_ratio,army_words_ratio,nature_words_ratio,religion_words_ratio,party_words_ratio,sadness_words_ratio,nostalgia_words_ratio,family_words_ratio,place_words_ratio,time_words_ratio,modern_slang_words_ratio,old_israeli_words_ratio,last_word_unique_count,last_word_repetition_ratio,avg_last_word_length
חתונה לבנה,אביתר בנאי,2000s,70,60,383,39,1.794871794871795,2,3,1,4.4,0.8571428571428571,0.14285714285714285,6,0.015665796344647518,0,0,1,2,0,0,0,0.0,1,0.02564102564102564,38,2,0.05128205128205128,6,0.1,4,0.05714285714285714,2,0.02857142857142857,1,0.014285714285714285,1,0.014285714285714285,0,0.0,0.5,0.25,0.0,0.0,0.02857142857142857,0.0,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0,0.05714285714285714,0.0,0.0,37,0.05128205128205128,4.666666666666667
שבוע טוב,אברהם טל,2020s,126,66,590,30,4.2,4.0,5,3,3.642857142857143,0.5238095238095238,0.47619047619047616,1,0.001694915254237288,0,0,0,1,0,0,0,0.0,7,0.23333333333333334,23,3,0.43333333333333335,32,0.48484848484848486,7,0.05555555555555555,10,0.07936507936507936,6,0.047619047619047616,7,0.05555555555555555,0,0.0,0.6,0.30434782608695654,0.023809523809523808,0.0,0.0,0.015873015873015872,0.015873015873015872,0.007936507936507936,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,21,0.3,4.5
זוט עני,אלה לי להב,2020s,209,84,895,47,4.446808510638298,4,11,2,3.1961722488038276,0.4019138755980861,0.5980861244019139,11,0.012290502793296089,0,0,0,4,0,0,0,0.0,16,0.3404255319148936,31,6,0.46808510638297873,36,0.42857142857142855,16,0.07655502392344497,23,0.11004784688995216,0,0.0,16,0.07655502392344497,3,0.014354066985645933,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04784688995215311,0.0,0.004784688995215311,0.0,0.0,27,0.425531914893617,3.8085106382978724
הולכת יחפה,איתי לוי,2020s,170,92,848,37,4.594594594594595,5,8,2,3.8176470588235296,0.5411764705882353,0.4588235294117647,0,0.0,0,0,0,0,0,0,0,0.0,11,0.2972972972972973,26,2,0.5945945945945946,48,0.5217391304347826,6,0.03529411764705882,9,0.052941176470588235,6,0.03529411764705882,9,0.052941176470588235,0,0.0,0.6666666666666666,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0058823529411764705,0.011764705882352941,0.0,0.0058823529411764705,0.0,0.0,22,0.40540540540540543,4.27027027027027
Feker Libi,עדן אלנה,2020s,244,86,1337,48,5.083333333333333,4.5,10,2,3.877049180327869,0.3524590163934426,0.6475409836065574,58,0.04338070306656694,0,0,32,4,20,0,826,0.6178010471204188,19,0.3958333333333333,29,4,0.75,60,0.6976744186046512,10,0.040983606557377046,8,0.03278688524590164,0,0.0,6,0.02459016393442623,0,0.0,0.0,0.42857142857142855,0.040983606557377046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.5,4.270833333333333
בחלומות שלנו,דודו אהרון ועדן מאירי,2020s,112,75,575,28,4.0,3.5,7,2,4.053571428571429,0.6696428571428571,0.33035714285714285,0,0.0,0,0,0,0,0,0,0,0.0,6,0.21428571428571427,22,2,0.42857142857142855,23,0.30666666666666664,8,0.07142857142857142,8,0.07142857142857142,2,0.017857142857142856,4,0.03571428571428571,0,0.0,0.25,0.2857142857142857,0.0,0.017857142857142856,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.05357142857142857,0.0,0.0,22,0.21428571428571427,4.678571428571429
חביב אלבי,סטטיק ובן-אל תבורי בהשתתפות נסרין קדרי,2020s,353,134,1718,76,4.644736842105263,5.0,10,1,3.54957507082153,0.37960339943342775,0.6203966005665722,90,0.05238649592549476,3,1,40,2,2,2,320,0.18626309662398138,32,0.42105263157894735,44,6,0.5921052631578947,51,0.3805970149253731,73,0.20679886685552407,10,0.028328611898016998,0,0.0,7,0.019830028328611898,0,0.0,0.0,0.4117647058823529,0.0084985835694051,0.0,0.0,0.0,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0453257790368272,0.0113314447592068,0.0,0.0,39,0.4868421052631579,4.2368421052631575
במקום הכי רחוק,בניה ברבי,2020s,145,93,708,25,5.8,5,11,3,3.820689655172414,0.6413793103448275,0.3586206896551724,9,0.012711864406779662,1,0,8,0,0,0,0,0.0,0,0.0,25,1,0.0,28,0.3010752688172043,6,0.041379310344827586,12,0.08275862068965517,4,0.027586206896551724,6,0.041379310344827586,0,0.0,0.3333333333333333,0.2727272727272727,0.006896551724137931,0.0,0.0,0.006896551724137931,0.0,0.006896551724137931,0.006896551724137931,0.027586206896551724,0.0,0.034482758620689655,0.0,0.0,21,0.16,4.84
בוער בי השינוי,מארינה מקסימיליאן,2020s,185,73,926,55,3.3636363636363638,3,6,2,3.8162162162162163,0.3945945945945946,0.6054054054054054,5,0.005399568034557235,0,0,0,1,0,0,0,0.0,22,0.4,33,4,0.6181818181818182,37,0.5068493150684932,10,0.05405405405405406,15,0.08108108108108109,0,0.0,14,0.07567567567567568,4,0.021621621621621623,0.0,0.42424242424242425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021621621621621623,0.0,0.010810810810810811,0.0,0.0,28,0.4909090909090909,4.672727272727273
איזה יום טוב,הפרויקט של עידן רייכל בהשתתפות נסרין קדרי,2020s,48,34,224,12,4.0,4.0,6,2,3.625,0.7083333333333334,0.2916666666666667,3,0.013392857142857142,0,0,3,0,0,0,0,0.0,0,0.0,12,1,0.0,10,0.29411764705882354,4,0.08333333333333333,4,0.08333333333333333,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.14583333333333334,0.0,0.0,10,0.16666666666666666,4.0
