song_name,artist_name,decade,lyrics
עייפה קצת,עדנה לב,1980s,"עייפה קצת מלרוץ עייפה קצת מן הדרך
עייפה ממה מותר ומה אסור
מחישובים מדוייקים עם תוצאות של ""בערך""
מצבים מסוימים של ""לא ברור""
עייפה כבר ממילים שאין בהן כל תוכן
הבטחות ששום דבר מאחריהן
ממחשבות ושאלות הלילה בא כל כך בחושך
עם תשובות לא מחייבות של לא וכן.
עייפה מלא לדעת איפה
מלא לדעת אם זה פה או שם
מלא לדעת אם זה כן או לא
ואם בכלל ואם כדאי ומה בכלל
עייפה מהחלטות גדולות בעלות ערך
מהתפשרות והתבלטות של מרצון
עייפה מלחפש ומלמצוא בסוף הדרך
שהכיוון הוא הכיוון הלא נכון
עייפה מלא לדעת איפה...
עכשיו רוצה פשוט להיות עצמי בשבילי
עם ספר חשבונות פרטי שלי
עייפה מלא לדעת איפה..."
אני עושה לי מנגינות,סקסטה,1980s,"אני עושה לי מנגינות עצובות
לשמח את ליבי כשעצוב לי
ואשוט לי כך בין הצלילים
למעלה למטה, כמו בין גלים
אני עושה לי מנגינות עליזות
הן כמו דבש מתוק מתוק על הבוקר
ובראש אצלי כמו ציפורים
שמזמרות בלי מילים
שירים בלה לה לה עם השמש העולה
ברה, מה שלא יקרה
פה פה פה ועוד עונה חלפה
דו רה מי פה סול, לשיר בקול גדול
שירים בלה לה לה לבוקר הנפלא
ברה לילד שבוכה
פה פה פה, שקיעה כזאת יפה
דו רה מי פה סול וזה עוד לא הכל
אני עושה לי מנגינות אהובות
שתהיינה רק שלי כל הלילה
וכמו יין טוב ישן נושן
אשמור ניחוחן בצילו של הזמן
אני עושה לי מנגינות מתנות
לך אתן שי אהבה כמזכרת
על ידך אקשור אותן צמיד
וכך שלי אתן תמיד
נשיר בלה לה לה, בעצב, בגילה
מי, אם אין אני לי מי
סי סי סי, אתה לי רק שלי
דו רה מי פה סול, הכל בכל מכל
שירים בלה לה לה עם השמש העולה
ברה, מה שלא יקרה
פה פה פה ועוד עונה חלפה
דו רה מי פה סול, לשיר בקול גדול
שירים בלה לה לה לבוקר הנפלא
ברה לילד שבוכה
פה פה פה, שקיעה כזאת יפה
דו רה מי פה סול וזה עוד לא הכל
זה עוד לא הכל, הכל"
בודדים אומרים,נורית גלרון,1980s,"יום ליום ינחיל שמש דועכת
ולילה על לילה יקונן.
וקיץ אחר קיץ יאסף בשלכת
ועולם מצערו מתרונן.
ומחר נמות, ואין הדיבר בנו,
וכיום צאתנו נעמוד לפני שער עם נעילה.
ולב כי יעלוז: הן אלוהים קרבנו,
והתנחם וחרד מפחד המעילה.
יום ליום ישא שמש בוערת
ולילה אחר לילה ישפוך כוכבים,
על שיפתי בודדים שירה נעצרת:
בשבע דרכים ניתפלג ובאחד אנו שבים."
אני לא מאמינה,אילנית,1980s,"חוזרת עם חול בכפות הרגליים
ושחר שמכחיל בחלוני,
מביטה אל עצמי בראי ושואלת -
זו אני או לא אני.
עוד רגע ירתח הקומקום עם המים,
עוצמת את עיני ומחכה -
מרגישה איך האושר גואה בי עם פחד
של אשליה מתוקה -
אני לא מאמינה, אני לא מאמינה
כל ההפתעות קורות לי כשאני לא מוכנה
אני לא מאמינה, אני לא מאמינה
מן פרפר קטן רועד בי כמו בפעם הראשונה
אני לא מאמינה.
רואה איך האור מתבהר בשמים,
הרוח משחק בעננים,
מביטה אל עצמי מקפה ושואלת -
זו אני או לא אני.
עוד רגע השמש ישטוף את הבית
וחום נעים יציף את פני -
מרגישה איך האושר זורם בי שקט, שקט,
ועוצמת עיני.
אני לא מאמינה..."
פזמון חוזר,האחים והאחיות,1980s,"עוד דקה אחת, עוד שניה של חסד
המסך ירד יכבו כל האורות.
עוד ליטוף מיתר באצבע מהססת ,
השתיקה יפה גם לחצוצרות.
ומחר מה ישאר?
שתי מילים, פזמון חוזר
ותיקחו אותם אתכם לדרכיכם
נשירה שלום!
היה כמו חלום
חבל כל כך שצריך לחזור הביתה
תשכחו את המילים,
תחפשו את הצלילים
אך הוא ישאר פזמון חוזר.
נשירה שלום...
עוד דקה אחת תצאו אל תוך הלילה
השלטים יוסרו השער ייסגר.
שכחו את המילים ואולי גם אותנו
אך אנו נשאר בפזמון חוזר.
הוא תמיד ילך אתכם
יתנגן בדרכיכם
תפזמוהו בליבכם
הוא שלכם.
נשירה שלום, היה כמו חלום..."
רדיו חזק,תיסלם,1980s,"היא שנולדה בכפר מנותק
ולא שמעה על חום או מחנק,
שם שמן טוב לא טוב משם,
כל כך שקט בא להירדם.
חייכי אלי בין השיחים,
חייכי אלי כשהם נחים
והם לא אוהבים.
היא אוהבת רק רדיו חזק
אוהבת רדיו חזק
אוהבת
שמנגן.
היא רק רואה אותנו שרים
היא לא שומעת מה מדברים.
כתבי אלי מה רצונך,
כתבי אלי דרך אזנך,
מעור התוף לעור הסנר
בתוך ראשך שקט שורר
והם לא אוהבים...
כן, היא הוכתה באור סנוורים
ולא תשמע ניסוי צופרים
היא לא תמנע אש בשדות
כי יש לה אוזניים כבדות
קבלי אותי בין המילים
קבלי אותי בין השבילים
והם לא אוהבים..."
לא עוזב את העיר,שלמה ארצי,1980s,"והוא לפני סיום
סוגר כבר את השער.
מרפה מן העניין,
חומק אל תוך השיר.
והיא לפני סיום שואלת:
""האם אתה נשאר?
האם השיר ימנע מבעדנו להמשיך?""
""לא עוזב את העיר!""
הוא אומר לה,
""עבור אף אחד.
אנחנו שניים תמיד,
ביננו אלוהים אחד.
ואת עבורי
כמו שתיקה דקה,
וכך או כך
לא עוזב גם אותך"".
ואחר כך משום שתכלת,
הרדיו מעודד,
רק סימני החוף
מעוררים ספק.
והיא מתוך סיום שואלת:
""האם יהיה מדי?""
אם היא פתאום תפרוץ בבכי לא מתאפק.
לא עוזב את העיר...
שמות לפני סיום,
והוא פתאום מבטיח,
מתוך חלום זהיר
הם נשענים אל ים.
למות לפני סיום,
והיא על קו רקיע,
מתוחה כמו עיר קטנה -
דמוית שרב.
לא עוזב את העיר..."
עד שנשיב,גלי עטרי,1980s,"בכל רגע חולף 
דיוקנך משתלב 
בשיחה של הלב
אין מילה מיותרת
הן תכנס פתאומי כמו נס 
בידך לפייס את עוקצו של הערב. 
הלא כך דמות בדמות נקשרת
בדידות לאט לאט נמסרת
כדי שנקשיב, כדי שנקשיב
הלא כשדמות אל דמות נדהמת
גם הדממה אינה אילמת
עד שנשיב, עד שנשיב. 
כשבחושך החי 
ינמנם לו הפנאי
יתלקטו בוודאי 
התקופות של חיינו
עד יוארו זכרונות שסמרו
ודברים שבגרו בעירום אישוננו. 
וחידות אין ספור הומות בעומק
חרדת פתאום וידוי של עונג
עד שנבין, עד שנבין
דברים רבים זורחים בחושך
תוגה וסוד גילוי של אושר
עד שנשכים, עד שנשכים."
ארבע לפנות בוקר,יהודית רביץ,1980s,"ארבע לפנות בוקר
אנ'לא נרדמת
לבד קשה לי ללכת לישון
ארבע לפנות בוקר
אני רוקמת
חלום ליל קיץ כיד הדמיון
אני לבד - כלום לא עוזר
אני כמעט על סף משבר
מתי אתה חוזר?
ארבע לפנות בוקר
התריס פתוח
חצי ירח מציץ בחלון
ארבע לפנות בוקר
ורק הרוח
עושה קולות וגלים בוילון
אתה כבר בטח לא זוכר
הלכת למקום אחר
מתי אתה חוזר?
הזמן עובר בעצלתיים
ושמש באה בשמיים
אני לבד, אבל בינתיים
איפה אתה? איפה אני?
ארבע לפנות בוקר
הדלקתי רדיו
זה רק הביא לי יותר דיכאון
ארבע לפנות בוקר
אני בבית
מה עוד נשאר לי מלבד זיכרון
אתה כבר בטח לא זוכר
אמרת שתחזור מהר
מתי אתה חוזר?
הזמן עובר בעצלתיים...
ארבע לפנות בוקר
אנ'לא נרדמת
לבד קשה לי ללכת לישון
ארבע לפנות בוקר
אני רוקמת
חלום ליל קיץ כיד הדמיון
אני לבד כלום לא עוזר
אם לא תבוא יבוא אחר
מתי אתה חוזר?
הזמן עובר בעצלתיים..."
אני ואת אז,יצחק קלפטר,1980s,"לילה, לילה מסביב
כוכבים זרועים בתוך שמיים בהירים
כאן אצלך על המרפסת
האור דולק למטה הרחוב שקט
שנינו יושבים על המזרון עם הקפיצים
עוד כוס קפה ועוד סיגריה מדליקים
ואז אני אומר שזה כל כך נחמד
ואת שואלת מה כל כך פה מיוחד
דו קרב בין גבר לאישה
תני לי את הים וקחי לך את היבשה
הנה הערב כבר עובר
לא יודע אם ללכת או להישאר
ואת יפה מאוד לך זה לא חשוב
צבע עורך עובד עלי כמו כישוף
ואת רכה מאוד ואני קצת גס
מי ינצח פה ומי יצא מובס
די לך די להתחמק
אם ליבך הוא ריק
אז תני לי להבין כעת
אל תמשיכי לשחק
פעם כן ופעם לא אני כבר מתמוטט
ואז אני שואל מתי יבוא שלום
ואת שואלת אם התחלתי לחלום
ואז אני אומר הבוקר כבר עלה 
ואת צוחקת טוב נתחיל מהתחלה"
